group,group_coef_mag,group_weight,stage_id,is_topk
乙烯成本,0.5995066512736199,0.15519897824358006,1,True
CTO成本,0.5003917812406227,0.12954033621652822,1,True
排产比例,0.4774104222493765,0.12359097197425821,1,True
PP石化库存,0.35994796118563355,0.09318254547833789,1,True
PP开工率,0.3406893121558718,0.08819690829579631,1,True
PP进口量,0.3299242231311088,0.08541006545794787,1,True
塑编开工率,0.3236672687929329,0.08379027872474208,1,False
PP产量,0.3189681940417806,0.08257379247138744,1,False
丙烯成本,0.26029379063251146,0.06738429050535495,1,False
BOPP开工率,0.21433437589882473,0.05548641715868273,1,False
价差,0.04326523658166226,0.011200410365215597,1,False
供需,0.04086951487579061,0.010580211139540037,1,False
比值,0.03720291524288729,0.009631009799661723,1,False
指数,0.016354371646500394,0.004233784168966942,1,False
PP石化库存,0.38159525483682044,0.1097680707341805,2,True
丙烯成本,0.3668793284393149,0.10553494983121975,2,True
乙烯成本,0.3641283867018219,0.10474362561164613,2,True
PP开工率,0.35681805397355787,0.10264076633906523,2,True
排产比例,0.3555929860758141,0.10228836850929866,2,True
塑编开工率,0.34592285508366194,0.09950669968794694,2,True
CTO成本,0.3370256130754906,0.09694735683000259,2,False
BOPP开工率,0.2788202474397482,0.0802042484940639,2,False
PP产量,0.25933420201934027,0.07459897540713452,2,False
PP进口量,0.23786755506048773,0.06842397089138749,2,False
比值,0.07032732803527444,0.020230060569340815,2,False
价差,0.06953970174838281,0.020003495335953435,2,False
供需,0.03324284890272218,0.00956249676458919,2,False
指数,0.019283170657928703,0.005546914994170813,2,False
MTO成本,0.0,0.0,2,False
排产比例,0.5889101531975245,0.11528420017162946,3,True
PP石化库存,0.5345561611760119,0.10464394127591724,3,True
PP开工率,0.5268415053417601,0.10313373140328695,3,True
乙烯成本,0.5254295649434454,0.10285733199222921,3,True
塑编开工率,0.5099665759626256,0.09983031962499869,3,True
MTO成本,0.4839867983269707,0.09474455591537098,3,True
丙烯成本,0.41718264544166317,0.08166707152881328,3,False
PP产量,0.31184917644410093,0.06104714392397514,3,False
CTO成本,0.31171867592181945,0.06102159733040477,3,False
PP进口量,0.30194914654569444,0.05910912838405592,3,False
BOPP开工率,0.27061957702778816,0.052976097150033596,3,False
比值,0.12413127571961916,0.0242997590717722,3,False
价差,0.10999495745215192,0.021532453845350092,3,False
供需,0.054450866276591986,0.01065922285983037,3,False
指数,0.03674651945598627,0.007193445522332021,3,False
GDP,0.0,0.0,3,False
MTO成本,0.8079547585694129,0.11147508956651817,4,True
塑编开工率,0.6488621432430997,0.08952477198404087,4,True
乙烯成本,0.6169380435189578,0.08512014185056609,4,True
PP石化库存,0.5997553388162755,0.08274941066121326,4,True
CTO成本,0.5954185959871116,0.08215106181781515,4,True
检修损失,0.591541112066785,0.08161607781935899,4,True
PP开工率,0.5762698284947061,0.079509069121239,4,False
排产比例,0.5709250211107044,0.07877163565045614,4,False
PP进口量,0.5419719518292492,0.07477692436601416,4,False
丙烯成本,0.5244828065248341,0.07236391297079256,4,False
PP产量,0.4264501669651314,0.05883815901062054,4,False
BOPP开工率,0.3385086077281393,0.04670469103040722,4,False
供需,0.1415423021689891,0.019528866739614213,4,False
比值,0.1262820188879519,0.017423375773045553,4,False
价差,0.11641611982286118,0.016062158489193477,4,False
指数,0.024531459257489653,0.0033846531491046497,4,False
GDP,4.0099658882189914e-21,5.532627932526634e-22,4,False
排产比例,0.8864353943977317,0.12126051410932559,5,True
PDH成本,0.7466982259396238,0.10214507603622809,5,True
MTO成本,0.6537731687174694,0.08943333157790485,5,True
CTO成本,0.574168267664631,0.07854372666332714,5,True
乙烯成本,0.564511812296596,0.07722276548578158,5,True
PP石化库存,0.5305509950521713,0.07257707310407141,5,True
丙烯成本,0.5296415523692533,0.07245266529276269,5,False
PP产量,0.49351317495248914,0.0675104600884352,5,False
PP进口量,0.49104764371731474,0.06717318611785669,5,False
检修损失,0.4332401575431159,0.05926537294032252,5,False
PP开工率,0.3304924145602441,0.0452099277083087,5,False
BOPP开工率,0.3255944273452398,0.044539904318509536,5,False
塑编开工率,0.28736629017676224,0.03931046109479786,5,False
比值,0.1323064275296302,0.018098944969488284,5,False
GDP,0.12906421714301042,0.017655424662405748,5,False
价差,0.1226430174450378,0.016777032416906756,5,False
供需,0.06356353637645362,0.008695215859304037,5,False
指数,0.015562756646011101,0.0021289175542632856,5,False
MTO成本,0.8189924202197911,0.12283502754293948,6,True
PP石化库存,0.6120397117574314,0.09179561738913404,6,True
PDH成本,0.54219464627288,0.08132003748055462,6,True
PP产量,0.49155785958221976,0.0737253748997166,6,True
PP开工率,0.4905310206206071,0.07357136640218008,6,True
丙烯成本,0.48488317808286807,0.07272428543225465,6,True
PP进口量,0.4726955723399058,0.07089635045977041,6,False
排产比例,0.47128955868506317,0.07068547216376372,6,False
检修损失,0.46732590934996965,0.07009099172264303,6,False
塑编开工率,0.4111931446911527,0.06167202529182221,6,False
乙烯成本,0.37857253408650143,0.0567794847710998,6,False
BOPP开工率,0.34003233272018146,0.05099910563758856,6,False
CTO成本,0.24926437651562733,0.03738544557781589,6,False
价差,0.17574623782877688,0.026358966739243244,6,False
比值,0.1526137884130347,0.022889490110441495,6,False
供需,0.08865920737878984,0.013297383359648415,6,False
指数,0.019826066314667108,0.0029735750193838344,6,False
GDP,2.8248934499247506e-16,4.2368629569764956e-17,6,False
